Assembly	BioSample	bioproject	organism_name	infraspecific_name	contigs	Largest_contig	Total_length	GC	collection_date	country	host_species	drug_resistance
GCF_001445295.1	SAMN03813795	PRJNA224116	Mycobacterium tuberculosis	strain=C53_20899	269	132324	4342716	65.47	2006	USA	Homo sapiens	
GCF_001445315.1	SAMN03813796	PRJNA224116	Mycobacterium tuberculosis	strain=H_13559	236	135780	4396983	65.49	2001	USA	Homo sapiens	
GCF_001445335.1	SAMN03813799	PRJNA224116	Mycobacterium tuberculosis	strain=H55_24991	256	182235	4338190	65.4	2009	USA	Homo sapiens	
GCF_001445345.1	SAMN03813800	PRJNA224116	Mycobacterium tuberculosis	strain=H6_10443	261	109994	4340086	65.4	1999	USA	Homo sapiens	
GCF_001445375.1	SAMN03813801	PRJNA224116	Mycobacterium tuberculosis	strain=H6_12226	239	128589	4392013	65.58	2000	USA	Homo sapiens	
GCF_001445395.1	SAMN03813804	PRJNA224116	Mycobacterium tuberculosis	strain=KI_19771	251	132097	4489634	65.44	2004	USA	Homo sapiens	
GCF_001445415.1	SAMN03813806	PRJNA224116	Mycobacterium tuberculosis	strain=V_13678	354	88356	4375118	65.4	2001	USA	Homo sapiens	
GCF_001445435.1	SAMN03813797	PRJNA224116	Mycobacterium tuberculosis	strain=H_13571	257	121777	4342776	65.4	2001	USA	Homo sapiens	
GCF_001445445.1	SAMN03813803	PRJNA224116	Mycobacterium tuberculosis	strain=I_15762	269	185192	4373811	65.47	2002	USA	Homo sapiens	
GCF_001445455.1	SAMN03813805	PRJNA224116	Mycobacterium tuberculosis	strain=L_13621	262	129970	4357266	65.52	2001	USA	Homo sapiens	
GCF_001445495.1	SAMN03813780	PRJNA224116	Mycobacterium tuberculosis	strain=AU_8623	523	83022	4258348	65.48	1998	USA	Homo sapiens	
GCF_001445515.1	SAMN03813774	PRJNA224116	Mycobacterium tuberculosis	strain=BE_116771	606	59335	4270871	65.44	1999	USA	Homo sapiens	
GCF_001445525.1	SAMN04129542	PRJNA224116	Mycobacterium tuberculosis	strain=C_913	163	193506	4358116	65.4	1992	USA	Homo sapiens	
GCF_001445535.1	SAMN03813779	PRJNA224116	Mycobacterium tuberculosis	strain=AH26_28866	828	36951	4219284	65.42	2011	South Africa	Homo sapiens	
GCF_001468445.1	SAMN04159245	PRJNA224116	Mycobacterium tuberculosis	strain=UM-CSF01	194	157662	4269708	65.39		Malaysia	Homo sapiens	
GCF_001468545.1	SAMN04159257	PRJNA224116	Mycobacterium tuberculosis	strain=UM-CSF05	118	203665	4332629	65.58		Malaysia	Homo sapiens	
GCF_001544705.1	SAMN03253058	PRJNA224116	Mycobacterium tuberculosis	strain=F28	1	4421903	4421903	65.6				
GCF_001545015.1	SAMN03257096	PRJNA224116	Mycobacterium tuberculosis	strain=22103	1	4399422	4399422	65.61	2010-04-08	China		
GCF_001566015.1	SAMEA1018916	PRJNA224116	Mycobacterium tuberculosis	strain=Bir 230	148	182818	4303413	65.35	2008	United Kingdom	Homo sapiens	
GCF_001573045.1	SAMN02819977	PRJNA224116	Mycobacterium tuberculosis	strain=TBR-102	108	189928	4329127	65.35	2006-03-03	Colombia	Homo sapiens	
GCF_001584745.1	SAMN03290700	PRJNA224116	Mycobacterium tuberculosis	strain=PR10	1	4433130	4433130	65.54	2014-04-14	Malaysia	Homo sapiens	
GCF_001597645.2	SAMN04492771	PRJNA224116	Mycobacterium tuberculosis	strain=SIT745/EAI1-MYS	1	4414742	4414742	65.61	2013-03-26	Malaysia	Homo sapiens	
GCF_001640575.1	SAMN04910091	PRJNA224116	Mycobacterium tuberculosis	strain=UM-CSF04	111	298443	4384718	65.59			Homo sapiens	
GCF_001640605.1	SAMN04910094	PRJNA224116	Mycobacterium tuberculosis	strain=UM-CSF06	113	236167	4366502	65.6			Homo sapiens	
GCF_001640615.1	SAMN04910096	PRJNA224116	Mycobacterium tuberculosis	strain=UM-CSF08	124	195043	4341446	65.59			Homo sapiens	
GCF_001640645.1	SAMN04910113	PRJNA224116	Mycobacterium tuberculosis	strain=UM-CSF17	88	295707	4349786	65.6			Homo sapiens	
GCF_001640695.1	SAMN04910097	PRJNA224116	Mycobacterium tuberculosis	strain=UM-CSF09	87	305019	4351622	65.6			Homo sapiens	
GCF_001640705.1	SAMN04910098	PRJNA224116	Mycobacterium tuberculosis	strain=UM-CSF15	107	199525	4368286	65.61			Homo sapiens	
GCF_001645585.1	SAMN05001334	PRJNA224116	Mycobacterium tuberculosis	strain=NZ494	179	122197	4292219	65.54	2011	New Zealand	Homo sapiens	
GCF_001645625.1	SAMN04550924	PRJNA224116	Mycobacterium tuberculosis	strain=B9741	165	183771	4312351	65.45	2015-07	Russia	Homo sapiens	
GCF_001663055.1	SAMN04023334	PRJNA224116	Mycobacterium tuberculosis	strain=W146	374	78642	4232900	65.38	2010-05-08	China	Homo sapiens	multidrug-resistant
GCF_001673125.1	SAMN04634162	PRJNA224116	Mycobacterium tuberculosis	strain=1337842.4	355	86440	4396097	65.55	2014-07-07	Mozambique		
GCF_001673395.1	SAMN04634165	PRJNA224116	Mycobacterium tuberculosis	strain=1337782.3	368	69993	4382524	65.51	2014-06-20	Mozambique		
GCF_001702435.1	SAMN05447655	PRJNA224116	Mycobacterium tuberculosis	strain=SCAID 320.0	1	4406628	4406628	65.58	2012-06	Kazakhstan	Homo sapiens	
GCF_001708265.1	SAMN05447658	PRJNA224116	Mycobacterium tuberculosis	strain=SCAID 252.0	1	4439387	4439387	65.65	2012-02	Kazakhstan	Homo sapiens	
GCF_001720305.1	SAMN05187972	PRJNA224116	Mycobacterium tuberculosis	strain=M78	105	274829	4365414	65.61	2013-08	Myanmar	Homo sapiens	
GCF_001720315.1	SAMN04599205	PRJNA224116	Mycobacterium tuberculosis	strain=M67	97	407708	4368915	65.6	2013-08	Myanmar	Homo sapiens	
GCF_001750865.1	SAMN03301665	PRJNA224116	Mycobacterium tuberculosis	strain=Beijing	1	4378588	4378588	65.61	2000	China	Homo sapiens	
GCF_001757405.1	SAMN05830624	PRJNA224116	Mycobacterium tuberculosis	strain=01-R1463	11	1778320	4319495	65.6	2012-01-01	Peru	Homo sapiens	
GCF_001757445.1	SAMN05825228	PRJNA224116	Mycobacterium tuberculosis	strain=01-R0904	13	2502506	4388784	65.6	2012-01-01	Peru	Homo sapiens	
GCF_001816205.1	SAMN05792585	PRJNA224116	Mycobacterium tuberculosis	strain=01-R0712	5	2512842	4397833	65.59	2012-01-01	Peru	Homo sapiens	
GCF_001835505.1	SAMN05362572	PRJNA224116	Mycobacterium tuberculosis	strain=49	169	162907	4396811	65.51		South Africa	Procavia capensis	
GCF_001835515.1	SAMN05362535	PRJNA224116	Mycobacterium tuberculosis	strain=47	229	147242	4323155	65.44		South Africa	Procavia capensis	
GCF_001835525.1	SAMN05362569	PRJNA224116	Mycobacterium tuberculosis	strain=48	196	173616	4342664	65.43		Sweden	Suricata suricatta	
GCF_001835535.1	SAMN05362621	PRJNA224116	Mycobacterium tuberculosis	strain=50	190	162025	4351146	65.41		South Africa	Procavia capensis	
GCF_001839705.1	SAMN05918958	PRJNA224116	Mycobacterium tuberculosis	strain=I0000203-5	10	1636915	4396260	65.61	2012-01-01	Peru	Homo sapiens	
GCF_001839715.1	SAMN05918960	PRJNA224116	Mycobacterium tuberculosis	strain=C0003187-3	30	1121970	4394321	65.58	2012-01-01	Peru	Homo sapiens	
GCF_001839725.1	SAMN05918959	PRJNA224116	Mycobacterium tuberculosis	strain=I0000673-9	9	1751537	4394144	65.57	2012-01-01	Peru	Homo sapiens	
GCF_001839735.1	SAMN05918957	PRJNA224116	Mycobacterium tuberculosis	strain=I0001390-9	24	1666346	4405776	65.61	2012-01-01	Peru	Homo sapiens	
GCF_001839785.1	SAMN05918956	PRJNA224116	Mycobacterium tuberculosis	strain=I0000918-8	18	1480958	4400623	65.61	2012-01-01	Peru	Homo sapiens	
GCF_001839805.1	SAMN05918955	PRJNA224116	Mycobacterium tuberculosis	strain=C0003200-4	55	461550	4396000	65.54	2012-01-01	Peru	Homo sapiens	
GCF_001839815.1	SAMN05918954	PRJNA224116	Mycobacterium tuberculosis	strain=I0001262-0	2	3931565	4394679	65.59	2012-01-01	Peru	Homo sapiens	
GCF_001839845.1	SAMN05918953	PRJNA224116	Mycobacterium tuberculosis	strain=I0001269-5	7	1578214	4382145	65.6	2012-01-01	Peru	Homo sapiens	
GCF_001839865.1	SAMN05918952	PRJNA224116	Mycobacterium tuberculosis	strain=I0001324-8	8	1836355	4392941	65.55	2012-01-01	Peru	Homo sapiens	
GCF_001839885.1	SAMN05918951	PRJNA224116	Mycobacterium tuberculosis	strain=I0001119-2	20	682918	4401379	65.6	2012-01-01	Peru	Homo sapiens	
GCF_001839895.1	SAMN05918950	PRJNA224116	Mycobacterium tuberculosis	strain=I0000729-9	5	3496370	4400151	65.61	2012-01-01	Peru	Homo sapiens	
GCF_001839905.1	SAMN05918949	PRJNA224116	Mycobacterium tuberculosis	strain=I0000721-6	9	1841805	4406523	65.62	2012-01-01	Peru	Homo sapiens	
GCF_001839945.1	SAMN05918948	PRJNA224116	Mycobacterium tuberculosis	strain=I0000737-2	8	1916823	4406451	65.62	2012-01-01	Peru	Homo sapiens	
GCF_001839965.1	SAMN05918947	PRJNA224116	Mycobacterium tuberculosis	strain=I0001033-5	13	2165363	4415407	65.61	2012-01-01	Peru	Homo sapiens	
GCF_001839975.1	SAMN05918946	PRJNA224116	Mycobacterium tuberculosis	strain=I0000755-4	52	798969	4386214	65.56	2012-01-01	Peru	Homo sapiens	
GCF_001839985.1	SAMN05918944	PRJNA224116	Mycobacterium tuberculosis	strain=I0000558-2	11	1950345	4440326	65.6	2012-01-01	Peru	Homo sapiens	
GCF_001840005.1	SAMN05918945	PRJNA224116	Mycobacterium tuberculosis	strain=I0000671-3	34	690154	4406737	65.6	2012-01-01	Peru	Homo sapiens	
GCF_001840045.1	SAMN05918942	PRJNA224116	Mycobacterium tuberculosis	strain=I0000406-4	22	1413089	4405407	65.58	2012-01-01	Peru	Homo sapiens	
GCF_001840055.1	SAMN05918943	PRJNA224116	Mycobacterium tuberculosis	strain=C0000085-2	8	2537279	4402384	65.62	2012-01-01	Peru	Homo sapiens	
GCF_001840065.1	SAMN05918941	PRJNA224116	Mycobacterium tuberculosis	strain=I0000537-6	12	2263402	4352854	65.59	2012-01-01	Peru	Homo sapiens	
GCF_001840075.1	SAMN05918940	PRJNA224116	Mycobacterium tuberculosis	strain=I0000698-6	22	1041103	4418415	65.6	2012-01-01	Peru	Homo sapiens	
GCF_001840125.1	SAMN05918939	PRJNA224116	Mycobacterium tuberculosis	strain=I0000693-7	9	1299212	4384499	65.59	2012-01-01	Peru	Homo sapiens	
GCF_001840145.1	SAMN05918937	PRJNA224116	Mycobacterium tuberculosis	strain=I0000610-1	7	2704930	4391802	65.61	2012-01-01	Peru	Homo sapiens	
GCF_001840155.1	SAMN05918938	PRJNA224116	Mycobacterium tuberculosis	strain=I0000507-9	5	2203016	4383893	65.61	2012-01-01	Peru	Homo sapiens	
GCF_001840165.1	SAMN05918936	PRJNA224116	Mycobacterium tuberculosis	strain=I0000374-4	6	1809870	4407688	65.59	2012-01-01	Peru	Homo sapiens	
GCF_001840205.1	SAMN05918935	PRJNA224116	Mycobacterium tuberculosis	strain=I0000555-8	10	1868846	4407700	65.6	2012-01-01	Peru	Homo sapiens	
GCF_001840225.1	SAMN05918934	PRJNA224116	Mycobacterium tuberculosis	strain=I0000319-9	5	2740071	4402161	65.62	2012-01-01	Peru	Homo sapiens	
GCF_001840235.1	SAMN05918933	PRJNA224116	Mycobacterium tuberculosis	strain=C0000086-0	20	1740070	4404186	65.61	2012-01-01	Peru	Homo sapiens	
GCF_001840245.1	SAMN05918932	PRJNA224116	Mycobacterium tuberculosis	strain=I0000489-0	22	1039017	4377386	65.58	2012-01-01	Peru	Homo sapiens	
GCF_001840285.1	SAMN05918931	PRJNA224116	Mycobacterium tuberculosis	strain=I0000389-2	19	1676158	4397884	65.58	2012-01-01	Peru	Homo sapiens	
GCF_001840305.1	SAMN05918930	PRJNA224116	Mycobacterium tuberculosis	strain=I0000517-8	10	1298926	4392087	65.58	2012-01-01	Peru	Homo sapiens	
GCF_001840315.1	SAMN05918929	PRJNA224116	Mycobacterium tuberculosis	strain=I0000285-2	22	1735746	4385350	65.61	2012-01-01	Peru	Homo sapiens	
GCF_001840325.1	SAMN05918928	PRJNA224116	Mycobacterium tuberculosis	strain=I0000250-6	18	1736397	4403078	65.62	2012-01-01	Peru	Homo sapiens	
GCF_001840365.1	SAMN05918927	PRJNA224116	Mycobacterium tuberculosis	strain=I0000057-5	8	2191437	4386789	65.61	2012-01-01	Peru	Homo sapiens	
GCF_001840385.1	SAMN05918926	PRJNA224116	Mycobacterium tuberculosis	strain=I0000049-2	33	853691	4411174	65.61	2012-01-01	Peru	Homo sapiens	
GCF_001840395.1	SAMN05918925	PRJNA224116	Mycobacterium tuberculosis	strain=I0000056-7	24	1036637	4411272	65.6	2012-01-01	Peru	Homo sapiens	
GCF_001840405.1	SAMN05918924	PRJNA224116	Mycobacterium tuberculosis	strain=I0000031-0	24	1412540	4392541	65.59	2012-01-01	Peru	Homo sapiens	
GCF_001840435.1	SAMN05918923	PRJNA224116	Mycobacterium tuberculosis	strain=I0000023-7	39	1042382	4385030	65.57	2012-01-01	Peru	Homo sapiens	
GCF_001840465.1	SAMN05918922	PRJNA224116	Mycobacterium tuberculosis	strain=I0000013-8	9	2692715	4390924	65.6	2012-01-01	Peru	Homo sapiens	
GCF_001840475.1	SAMN05918921	PRJNA224116	Mycobacterium tuberculosis	strain=I0000014-6	10	2171730	4410600	65.62	2012-01-01	Peru	Homo sapiens	
GCF_001840505.1	SAMN05918920	PRJNA224116	Mycobacterium tuberculosis	strain=I0000021-1	7	2295494	4398097	65.61	2012-01-01	Peru	Homo sapiens	
GCF_001840515.1	SAMN05918919	PRJNA224116	Mycobacterium tuberculosis	strain=I0000016-1	22	1106589	4394232	65.6	2012-01-01	Peru	Homo sapiens	
GCF_001840545.1	SAMN05918918	PRJNA224116	Mycobacterium tuberculosis	strain=I0000025-2	42	677567	4368379	65.59	2012-01-01	Peru	Homo sapiens	
GCF_001840555.1	SAMN05918917	PRJNA224116	Mycobacterium tuberculosis	strain=I0000010-4	33	1054345	4395697	65.59	2012-01-01	Peru	Homo sapiens	
GCF_001840575.1	SAMN05915293	PRJNA224116	Mycobacterium tuberculosis	strain=01-R1632	3	2609717	4399319	65.59	2012-01-01	Peru	Homo sapiens	
GCF_001840595.1	SAMN05915292	PRJNA224116	Mycobacterium tuberculosis	strain=01-R1138	5	2278023	4395299	65.6	2012-01-01	Peru	Homo sapiens	
GCF_001840625.1	SAMN05915291	PRJNA224116	Mycobacterium tuberculosis	strain=02-R0403	5	2500824	4389079	65.62	2012-01-01	Peru	Homo sapiens	
GCF_001840645.1	SAMN05915290	PRJNA224116	Mycobacterium tuberculosis	strain=01-R1651	2	3882754	4349337	65.61	2012-01-01	Peru	Homo sapiens	
GCF_001840665.1	SAMN05915289	PRJNA224116	Mycobacterium tuberculosis	strain=02-R0020	1	4401430	4401430	65.6	2012-01-01	Peru	Homo sapiens	
GCF_001840675.1	SAMN05915288	PRJNA224116	Mycobacterium tuberculosis	strain=01-R0877	4	2281621	4400141	65.6	2012-01-01	Peru	Homo sapiens	
GCF_001840705.1	SAMN05915287	PRJNA224116	Mycobacterium tuberculosis	strain=01-04726	4	1896382	4433721	65.59	2012-01-01	Peru	Homo sapiens	
GCF_001840725.1	SAMN05915286	PRJNA224116	Mycobacterium tuberculosis	strain=00-10219	3	3101612	4377523	65.6	2012-01-01	Peru	Homo sapiens	
GCF_001840745.1	SAMN05915284	PRJNA224116	Mycobacterium tuberculosis	strain=02-R0196	2	3830386	4390856	65.61	2012-01-01	Peru	Homo sapiens	
GCF_001840755.1	SAMN05915285	PRJNA224116	Mycobacterium tuberculosis	strain=00-15489	6	3112274	4397200	65.61	2012-01-01	Peru	Homo sapiens	
GCF_001840775.1	SAMN05915283	PRJNA224116	Mycobacterium tuberculosis	strain=01-R1062	4	3713733	4348559	65.6	2012-01-01	Peru	Homo sapiens	
GCF_001840805.1	SAMN05915282	PRJNA224116	Mycobacterium tuberculosis	strain=02-R0016	3	3104835	4386186	65.6	2012-01-01	Peru	Homo sapiens	
GCF_001840825.1	SAMN05915281	PRJNA224116	Mycobacterium tuberculosis	strain=01-R1235	7	2005046	4353176	65.61	2012-01-01	Peru	Homo sapiens	
GCF_001840835.1	SAMN05915280	PRJNA224116	Mycobacterium tuberculosis	strain=01-R1112	6	3098044	4349028	65.6	2012-01-01	Peru	Homo sapiens	
GCF_001840845.1	SAMN05915279	PRJNA224116	Mycobacterium tuberculosis	strain=01-R1130	4	2609035	4384681	65.6	2012-01-01	Peru	Homo sapiens	
GCF_001840885.1	SAMN05915278	PRJNA224116	Mycobacterium tuberculosis	strain=03-R0979	3	3814436	4375454	65.6	2012-01-01	Peru	Homo sapiens	
GCF_001840905.1	SAMN05915277	PRJNA224116	Mycobacterium tuberculosis	strain=02-R1680	6	3127285	4409384	65.61	2012-01-01	Peru	Homo sapiens	
GCF_001840925.1	SAMN05915275	PRJNA224116	Mycobacterium tuberculosis	strain=01-R1302	3	3101377	4363454	65.59	2012-01-01	Peru	Homo sapiens	
GCF_001840935.1	SAMN05915276	PRJNA224116	Mycobacterium tuberculosis	strain=02-R0898	7	1886259	4390482	65.58	2012-01-01	Peru	Homo sapiens	
GCF_001840945.1	SAMN05915274	PRJNA224116	Mycobacterium tuberculosis	strain=01-R1305	4	1894668	4393358	65.6	2012-01-01	Peru	Homo sapiens	
GCF_001840985.1	SAMN05915273	PRJNA224116	Mycobacterium tuberculosis	strain=02-R0459	5	3095201	4372024	65.59	2012-01-01	Peru	Homo sapiens	
GCF_001841005.1	SAMN05915272	PRJNA224116	Mycobacterium tuberculosis	strain=02-R1945	9	1889956	4389111	65.6	2012-01-01	Peru	Homo sapiens	
GCF_001841015.1	SAMN05915270	PRJNA224116	Mycobacterium tuberculosis	strain=01-R0841	8	2651639	4404086	65.6	2012-01-01	Peru	Homo sapiens	
GCF_001841045.1	SAMN05915271	PRJNA224116	Mycobacterium tuberculosis	strain=01-R0909	9	1898032	4407359	65.6	2012-01-01	Peru	Homo sapiens	
GCF_001841065.1	SAMN05915269	PRJNA224116	Mycobacterium tuberculosis	strain=02-R0027	2	2376838	4392050	65.59	2012-01-01	Peru	Homo sapiens	
GCF_001841075.1	SAMN05915268	PRJNA224116	Mycobacterium tuberculosis	strain=01-R0908	6	2650676	4397505	65.59	2012-01-01	Peru	Homo sapiens	
GCF_001841105.1	SAMN05915267	PRJNA224116	Mycobacterium tuberculosis	strain=01-R0240	1	4372594	4372594	65.6	2012-01-01	Peru	Homo sapiens	
GCF_001841115.1	SAMN05915266	PRJNA224116	Mycobacterium tuberculosis	strain=01-R0880	2	3888796	4363656	65.61	2012-01-01	Peru	Homo sapiens	
GCF_001841145.1	SAMN05915265	PRJNA224116	Mycobacterium tuberculosis	strain=01-R1354	6	2640674	4405211	65.62	2012-01-01	Peru	Homo sapiens	
GCF_001841165.1	SAMN05915264	PRJNA224116	Mycobacterium tuberculosis	strain=01-R1556	1	4386664	4386664	65.6	2012-01-01	Peru	Homo sapiens	
GCF_001841175.1	SAMN05915263	PRJNA224116	Mycobacterium tuberculosis	strain=01-R1559	3	3109754	4411524	65.59	2012-01-01	Peru	Homo sapiens	
GCF_001841195.1	SAMN05915262	PRJNA224116	Mycobacterium tuberculosis	strain=01-R0824	2	3110800	4389976	65.61	2012-01-01	Peru	Homo sapiens	
GCF_001841205.1	SAMN05915261	PRJNA224116	Mycobacterium tuberculosis	strain=01-R1321	4	1628889	4393648	65.6	2012-01-01	Peru	Homo sapiens	
GCF_001841245.1	SAMN05915260	PRJNA224116	Mycobacterium tuberculosis	strain=02-R0879	2	3099156	4377763	65.6	2012-01-01	Peru	Homo sapiens	
GCF_001841265.1	SAMN05915259	PRJNA224116	Mycobacterium tuberculosis	strain=01-R0899	5	1552565	4389211	65.59	2012-01-01	Peru	Homo sapiens	
GCF_001841275.1	SAMN05915257	PRJNA224116	Mycobacterium tuberculosis	strain=01-R1049	2	3834146	4405170	65.6	2012-01-01	Peru	Homo sapiens	
GCF_001841285.1	SAMN05915258	PRJNA224116	Mycobacterium tuberculosis	strain=02-R0325	1	4389201	4389201	65.61	2012-01-01	Peru	Homo sapiens	
GCF_001841325.1	SAMN05915256	PRJNA224116	Mycobacterium tuberculosis	strain=01-R0712	5	2512842	4397833	65.59	2012-01-01	Peru	Homo sapiens	
GCF_001841345.1	SAMN05915255	PRJNA224116	Mycobacterium tuberculosis	strain=00-R1208	4	2638892	4403340	65.62	2012-01-01	Peru	Homo sapiens	
GCF_001841355.1	SAMN05915254	PRJNA224116	Mycobacterium tuberculosis	strain=99-R874	6	2717464	4393211	65.58	2012-01-01	Peru	Homo sapiens	
GCF_001841375.1	SAMN05915253	PRJNA224116	Mycobacterium tuberculosis	strain=00-R1245	6	1986038	4390944	65.62	2012-01-01	Peru	Homo sapiens	
GCF_001841395.1	SAMN05915252	PRJNA224116	Mycobacterium tuberculosis	strain=01-R0902	4	3728049	4392037	65.62	2012-01-01	Peru	Homo sapiens	
GCF_001841425.1	SAMN05915251	PRJNA224116	Mycobacterium tuberculosis	strain=00-R1569	5	3097214	4377186	65.6	2012-01-01	Peru	Homo sapiens	
GCF_001841445.1	SAMN05915250	PRJNA224116	Mycobacterium tuberculosis	strain=00-R1025	4	2602926	4378007	65.6	2012-01-01	Peru	Homo sapiens	
GCF_001841455.1	SAMN05915249	PRJNA224116	Mycobacterium tuberculosis	strain=00-R0145	6	2721366	4400047	65.59	2012-01-01	Peru	Homo sapiens	
GCF_001841475.1	SAMN05918585	PRJNA224116	Mycobacterium tuberculosis	strain=M0011025-5	4	1888747	4387777	65.59	2012-01-01	Peru	Homo sapiens	
GCF_001841505.1	SAMN05918612	PRJNA224116	Mycobacterium tuberculosis	strain=M0003761-5	3	3825273	4386280	65.6	2012-01-01	Peru	Homo sapiens	
GCF_001841525.1	SAMN05918583	PRJNA224116	Mycobacterium tuberculosis	strain=M0010326-8	8	1832924	4401394	65.61	2012-01-01	Peru	Homo sapiens	
GCF_001841545.1	SAMN05918577	PRJNA224116	Mycobacterium tuberculosis	strain=M0005584-9	2	3085879	4367967	65.6	2012-01-01	Peru	Homo sapiens	
GCF_001841565.1	SAMN05918611	PRJNA224116	Mycobacterium tuberculosis	strain=M0016353-6	2	3177399	4399003	65.62	2012-01-01	Peru	Homo sapiens	
GCF_001841575.1	SAMN05918594	PRJNA224116	Mycobacterium tuberculosis	strain=M0021672-2	1	4399046	4399046	65.61	2012-01-01	Peru	Homo sapiens	
GCF_001841605.1	SAMN05918600	PRJNA224116	Mycobacterium tuberculosis	strain=M0024434-4	5	3119603	4399128	65.61	2012-01-01	Peru	Homo sapiens	
GCF_001841615.1	SAMN05918587	PRJNA224116	Mycobacterium tuberculosis	strain=M0014029-4	7	3821514	4383098	65.61	2012-01-01	Peru	Homo sapiens	
GCF_001841645.1	SAMN05918569	PRJNA224116	Mycobacterium tuberculosis	strain=M0002202-1	1	4392188	4392188	65.63	2012-01-01	Peru	Homo sapiens	
GCF_001841665.1	SAMN05918568	PRJNA224116	Mycobacterium tuberculosis	strain=M0001620-5	2	3204168	4421830	65.58	2012-01-01	Peru	Homo sapiens	
GCF_001841685.1	SAMN05918575	PRJNA224116	Mycobacterium tuberculosis	strain=M0004513-9	3	3713928	4351413	65.6	2012-01-01	Peru	Homo sapiens	
GCF_001841705.1	SAMN05918581	PRJNA224116	Mycobacterium tuberculosis	strain=M0009119-0	2	2379805	4363994	65.61	2012-01-01	Peru	Homo sapiens	
GCF_001841715.1	SAMN05918582	PRJNA224116	Mycobacterium tuberculosis	strain=M0009260-2	2	3113645	4397018	65.62	2012-01-01	Peru	Homo sapiens	
GCF_001841725.1	SAMN05918573	PRJNA224116	Mycobacterium tuberculosis	strain=M0003743-3	5	1737634	4399710	65.62	2012-01-01	Peru	Homo sapiens	
GCF_001841765.1	SAMN05918593	PRJNA224116	Mycobacterium tuberculosis	strain=M0021577-3	2	4061171	4395867	65.6	2012-01-01	Peru	Homo sapiens	
GCF_001841785.1	SAMN05918589	PRJNA224116	Mycobacterium tuberculosis	strain=M0015869-2	5	2713977	4398194	65.6	2012-01-01	Peru	Homo sapiens	
GCF_001841805.1	SAMN05918586	PRJNA224116	Mycobacterium tuberculosis	strain=M0013217-6	3	2513430	4403290	65.61	2012-01-01	Peru	Homo sapiens	
GCF_001841815.1	SAMN05918596	PRJNA224116	Mycobacterium tuberculosis	strain=M0022228-2	3	3821507	4382779	65.61	2012-01-01	Peru	Homo sapiens	
GCF_001841845.1	SAMN05918578	PRJNA224116	Mycobacterium tuberculosis	strain=M0005771-2	2	3695953	4401239	65.6	2012-01-01	Peru	Homo sapiens	
GCF_001841865.1	SAMN05918576	PRJNA224116	Mycobacterium tuberculosis	strain=M0005016-2	1	4382353	4382353	65.61	2012-01-01	Peru	Homo sapiens	
GCF_001841885.1	SAMN05918572	PRJNA224116	Mycobacterium tuberculosis	strain=M0003662-5	4	1987411	4392509	65.62	2012-01-01	Peru	Homo sapiens	
GCF_001841895.1	SAMN05918584	PRJNA224116	Mycobacterium tuberculosis	strain=M0010396-1	2	3829397	4390489	65.6	2012-01-01	Peru	Homo sapiens	
GCF_001841905.1	SAMN05918570	PRJNA224116	Mycobacterium tuberculosis	strain=M0002684-0	4	3823546	4386624	65.6	2012-01-01	Peru	Homo sapiens	
GCF_001841945.1	SAMN05918609	PRJNA224116	Mycobacterium tuberculosis	strain=M0010710-3	3	3825733	4387212	65.61	2012-01-01	Peru	Homo sapiens	
GCF_001841965.1	SAMN05918605	PRJNA224116	Mycobacterium tuberculosis	strain=M0022844-6	3	2404241	4396361	65.6	2012-01-01	Peru	Homo sapiens	
GCF_001841975.1	SAMN05918588	PRJNA224116	Mycobacterium tuberculosis	strain=M0014243-1	6	2494306	4352151	65.61	2012-01-01	Peru	Homo sapiens	
GCF_001842005.1	SAMN05918603	PRJNA224116	Mycobacterium tuberculosis	strain=M0001398-8	5	3846172	4407753	65.6	2012-01-01	Peru	Homo sapiens	
GCF_001842015.1	SAMN05918591	PRJNA224116	Mycobacterium tuberculosis	strain=M0018107-4	3	3917492	4382116	65.61	2012-01-01	Peru	Homo sapiens	
GCF_001842045.1	SAMN05918574	PRJNA224116	Mycobacterium tuberculosis	strain=M0003875-3	1	4395860	4395860	65.59	2012-01-01	Peru	Homo sapiens	
GCF_001842055.1	SAMN05918606	PRJNA224116	Mycobacterium tuberculosis	strain=M0023843-7	2	3190401	4383653	65.61	2012-01-01	Peru	Homo sapiens	
GCF_001842085.1	SAMN05918571	PRJNA224116	Mycobacterium tuberculosis	strain=M0003117-0	9	1646027	4404693	65.6	2012-01-01	Peru	Homo sapiens	
GCF_001842095.1	SAMN05918610	PRJNA224116	Mycobacterium tuberculosis	strain=M0014296-9	1	4411162	4411162	65.59	2012-01-01	Peru	Homo sapiens	
GCF_001842105.1	SAMN05918590	PRJNA224116	Mycobacterium tuberculosis	strain=M0017749-4	8	1713302	4394018	65.6	2012-01-01	Peru	Homo sapiens	
GCF_001842135.1	SAMN05918604	PRJNA224116	Mycobacterium tuberculosis	strain=M0006970-9	6	2449732	4397743	65.62	2012-01-01	Peru	Homo sapiens	
GCF_001842165.1	SAMN05918595	PRJNA224116	Mycobacterium tuberculosis	strain=M0021971-8	3	3948176	4413057	65.62	2012-01-01	Peru	Homo sapiens	
GCF_001842175.1	SAMN05918607	PRJNA224116	Mycobacterium tuberculosis	strain=M0000149-6	2	3833149	4394173	65.6	2012-01-01	Peru	Homo sapiens	
