Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# N's per 100 kbp
GCF_000668955.1_Myco_tube_UT0091_V1_genomic	24	24	20	19	16	14	4423090	4423090	4416241	4410628	4344670	4258125	24	973538	4423090	65.57	457428	268957	4	7	711.24
GCF_000668975.1_Myco_tube_UT0092_V1_genomic	5	5	3	3	3	3	4421742	4421742	4418365	4418365	4418365	4418365	5	3723990	4421742	65.60	3723990	3723990	1	1	459.84
GCF_000668995.1_Myco_tube_UT0093_V1_genomic	19	19	16	14	14	13	4466031	4466031	4456907	4445398	4445398	4410215	19	822452	4466031	65.60	353364	296106	5	8	1172.11
GCF_000669015.1_Myco_tube_UT0094_V1_genomic	6	6	5	4	4	4	4398772	4398772	4397606	4390789	4390789	4390789	6	2803629	4398772	65.58	2803629	907308	1	2	275.10
GCF_000669035.1_Myco_tube_UT0096_V1_genomic	65	65	54	48	40	29	4382894	4382894	4353646	4312146	4180093	3750644	65	359480	4382894	65.59	129677	71608	11	22	50.81
GCF_000669055.1_Myco_tube_UT0097_V1_genomic	5	5	3	3	2	2	4443983	4443983	4440282	4440282	4427992	4427992	5	3963548	4443983	65.60	3963548	3963548	1	1	976.40
GCF_000669075.1_Myco_tube_UT0100_V1_genomic	15	15	11	10	10	10	4383260	4383260	4370647	4365587	4365587	4365587	15	916811	4383260	65.59	587205	449920	3	5	345.25
GCF_000669095.1_Myco_tube_UT0104_V1_genomic	11	11	5	3	3	3	4414868	4414868	4404151	4392413	4392413	4392413	11	3710011	4414868	65.60	3710011	3710011	1	1	166.80
GCF_000669115.1_Myco_tube_UT0105_V1_genomic	5	5	3	3	3	3	4398695	4398695	4395793	4395793	4395793	4395793	5	3696710	4398695	65.60	3696710	3696710	1	1	168.35
GCF_000669135.1_Myco_tube_UT0106_V1_genomic	53	53	45	41	34	26	4439606	4439606	4415276	4382955	4261872	3944170	53	351550	4439606	65.63	178245	91422	10	18	574.53
GCF_000669155.1_Myco_tube_UT0110_V1_genomic	9	9	5	3	3	3	4422693	4422693	4412046	4396208	4396208	4396208	9	3546149	4422693	65.59	3546149	3546149	1	1	116.63
GCF_000669175.1_Myco_tube_UT0112_V1_genomic	4	4	3	3	2	2	4417436	4417436	4416270	4416270	4402361	4402361	4	3938700	4417436	65.59	3938700	3938700	1	1	375.65
GCF_000669195.1_Myco_tube_UT0113_V1_genomic	8	8	2	2	2	2	4407773	4407773	4400001	4400001	4400001	4400001	8	3934468	4407773	65.61	3934468	3934468	1	1	106.95
GCF_000669215.1_Myco_tube_UT0115_V1_genomic	16	16	16	16	15	13	4517933	4517933	4517933	4517933	4506975	4438465	16	904477	4517933	65.63	415616	370087	4	7	2205.61
GCF_000669235.1_Myco_tube_UT0116_V1_genomic	2	2	2	2	2	2	4417057	4417057	4417057	4417057	4417057	4417057	2	3955938	4417057	65.61	3955938	3955938	1	1	307.81
GCF_000669255.1_Myco_tube_UT0123_V1_genomic	4	4	3	3	2	2	4358547	4358547	4356781	4356781	4345373	4345373	4	3884436	4358547	65.61	3884436	3884436	1	1	133.58
GCF_000669275.1_Myco_tube_UT0124_V1_genomic	8	8	5	4	4	4	4436430	4436430	4427418	4421267	4421267	4421267	8	2250828	4436430	65.59	2250828	1480641	1	2	1154.35
GCF_000669295.1_Myco_tube_UT0017_V1_genomic	11	11	11	9	7	6	4381449	4381449	4381449	4369935	4337434	4311197	11	1581925	4381449	65.61	1303429	473351	2	3	136.21
GCF_000669315.1_Myco_tube_KT__0004_V1_genomic	69	69	55	52	45	30	4382556	4382556	4346561	4321233	4198615	3638786	69	304654	4382556	65.60	126941	65508	12	25	18.05
GCF_000669335.1_Myco_tube_KT__0010_V1_genomic	18	18	14	12	11	10	4399185	4399185	4390260	4378282	4359111	4314613	18	1234821	4399185	65.59	637565	339501	3	5	186.78
GCF_000669355.1_Myco_tube_KT__0012_V1_genomic	41	41	33	29	24	19	4394026	4394026	4372144	4342692	4251639	4038188	41	389068	4394026	65.59	292978	157411	7	12	409.15
GCF_000669375.1_Myco_tube_KT__0020_V1_genomic	15	15	4	4	3	3	4396993	4396993	4379318	4379318	4363409	4363409	15	3704885	4396993	65.59	3704885	3704885	1	1	381.69
GCF_000669395.1_Myco_tube_KT__0025_V1_genomic	21	21	17	16	15	15	4407066	4407066	4395344	4387605	4368309	4368309	21	508282	4407066	65.61	353513	249235	5	9	439.36
GCF_000669415.1_Myco_tube_KT__0029_V1_genomic	75	75	55	50	42	30	4375025	4375025	4326354	4291151	4148579	3710913	75	304517	4375025	65.59	127338	68242	12	24	23.91
GCF_000669435.1_Myco_tube_KT__0031_V1_genomic	72	72	54	49	41	29	4377728	4377728	4332401	4297268	4150946	3692757	72	321434	4377728	65.60	138520	68985	12	23	111.20
GCF_000669455.1_Myco_tube_KT__0032_V1_genomic	72	72	57	49	40	30	4393923	4393923	4352807	4296900	4146844	3791320	72	304338	4393923	65.60	125607	68985	12	23	21.42
GCF_000669475.1_Myco_tube_KT_0033_V1_genomic	11	11	8	8	6	6	4425749	4425749	4416858	4416858	4381938	4381938	11	2770550	4425749	65.61	2770550	934653	1	2	296.94
GCF_000669495.1_Myco_tube_KT_0034_V1_genomic	68	68	54	51	42	31	4375779	4375779	4340708	4312688	4154409	3757681	68	304467	4375779	65.60	124283	71242	12	24	19.68
GCF_000669515.1_Myco_tube_KT_0042_V1_genomic	26	26	24	21	18	16	4368236	4368236	4362820	4342791	4280421	4203897	26	485096	4368236	65.60	288207	199897	6	11	115.33
GCF_000669535.1_Myco_tube_KT_0060_V1_genomic	71	71	49	46	38	27	4386858	4386858	4332883	4313753	4159683	3738217	71	394370	4386858	65.60	144146	82931	11	21	38.50
GCF_000669555.1_Myco_tube_KT_0069_V1_genomic	74	74	57	54	50	29	4378398	4378398	4337249	4320318	4243824	3442001	74	304654	4378398	65.59	106358	65006	14	27	2.28
GCF_000669575.1_Myco_tube_KT_0082_V1_genomic	70	70	53	52	44	33	4380149	4380149	4333364	4326916	4184397	3768296	70	296527	4380149	65.61	107019	71089	14	26	15.30
GCF_000669595.1_Myco_tube_KT_0086_V1_genomic	4	4	3	2	2	2	4380469	4380469	4379327	4372465	4372465	4372465	4	2616263	4380469	65.59	2616263	1756202	1	2	81.38
GCF_000669615.1_Myco_tube_KT_0087_V1_genomic	69	69	55	48	39	27	4391143	4391143	4357582	4310864	4144669	3696288	69	296632	4391143	65.60	133317	80804	12	22	54.88
GCF_000669635.1_Myco_tube_XDR_KZN_605_V1_genomic	1	1	1	1	1	1	4403368	4403368	4403368	4403368	4403368	4403368	1	4403368	4403368	65.61	4403368	4403368	1	1	47.74
GCF_000669655.1_Myco_tube_KZN_4207_V1_genomic	1	1	1	1	1	1	4395092	4395092	4395092	4395092	4395092	4395092	1	4395092	4395092	65.61	4395092	4395092	1	1	148.92
GCF_000669675.1_Myco_tube_KZN_1435_V1_genomic	1	1	1	1	1	1	4401837	4401837	4401837	4401837	4401837	4401837	1	4401837	4401837	65.61	4401837	4401837	1	1	40.98
GCF_000669695.1_Myco_tube_OFXR_28_V1_genomic	6	6	3	3	3	3	4413939	4413939	4410401	4410401	4410401	4410401	6	3609209	4413939	65.61	3609209	3609209	1	1	95.18
GCF_000669715.1_Myco_tube_cdc1551_V1_genomic	2	2	2	2	2	2	4406808	4406808	4406808	4406808	4406808	4406808	2	4348636	4406808	65.62	4348636	4348636	1	1	22.53
GCF_000669735.1_Myco_tube_38765_V1_genomic	93	93	61	55	46	33	4399510	4399510	4321042	4276619	4129948	3651928	93	241296	4399510	65.59	103915	66493	15	27	4.55
GCF_000669755.1_Myco_tube_49375_V1_genomic	88	88	61	56	46	34	4389482	4389482	4317808	4286251	4122064	3683995	88	241469	4389482	65.60	103924	63566	15	28	32.35
GCF_000669775.1_Myco_tube_44503_V1_genomic	84	84	61	54	45	34	4392604	4392604	4323397	4269949	4121285	3706806	84	231829	4392604	65.59	105020	65912	14	28	10.13
GCF_000669795.1_Myco_tube_51628_V1_genomic	69	69	53	48	40	28	4395099	4395099	4350252	4317576	4182269	3742453	69	363589	4395099	65.59	115054	85402	11	22	34.90
GCF_000669815.1_Myco_tube_38088_V1_genomic	91	91	61	55	43	30	4388631	4388631	4309817	4271719	4060210	3598174	91	303426	4388631	65.59	123277	65545	12	26	35.14
GCF_000669835.1_Myco_tube_36361_V1_genomic	69	69	47	43	37	30	4407169	4407169	4350473	4322774	4230511	3992016	69	303502	4407169	65.59	152238	88314	11	21	19.20
GCF_000669855.1_Myco_tube_TB_RSA01_V1_genomic	17	17	4	3	3	3	4396239	4396239	4373983	4368139	4368139	4368139	17	2618193	4396239	65.58	2618193	1287659	1	2	95.40
GCF_000669875.1_Myco_tube_TB_RSA02_V1_genomic	9	9	4	3	3	3	4410914	4410914	4399138	4391972	4391972	4391972	9	2624590	4410914	65.59	2624590	1300405	1	2	390.37
GCF_000669895.1_Myco_tube_TB_RSA03_V1_genomic	4	4	4	4	3	3	4403402	4403402	4403402	4403402	4390440	4390440	4	2798542	4403402	65.59	2798542	1129896	1	2	207.59
GCF_000669915.1_Myco_tube_TB_RSA04_V1_genomic	9	9	4	2	2	2	4405475	4405475	4398079	4386777	4386777	4386777	9	3923658	4405475	65.59	3923658	3923658	1	1	188.47
GCF_000669935.1_Myco_tube_TB_RSA05_V1_genomic	9	9	5	4	4	4	4413599	4413599	4404694	4398531	4398531	4398531	9	2639599	4413599	65.58	2639599	888506	1	2	560.70
GCF_000669955.1_Myco_tube_TB_RSA06_V1_genomic	9	9	6	5	5	5	4396146	4396146	4391485	4385601	4385601	4385601	9	2696118	4396146	65.59	2696118	924762	1	2	237.71
GCF_000669975.1_Myco_tube_TB_RSA07_V1_genomic	3	3	2	2	2	2	4425593	4425593	4424427	4424427	4424427	4424427	3	3951554	4425593	65.59	3951554	3951554	1	1	694.73
GCF_000669995.1_Myco_tube_TB_RSA08_V1_genomic	8	8	6	4	4	4	4406341	4406341	4402976	4390604	4390604	4390604	8	2790304	4406341	65.61	2790304	802254	1	2	144.09
GCF_000670015.1_Myco_tube_TB_RSA09_V1_genomic	6	6	4	3	3	3	4403008	4403008	4400116	4392553	4392553	4392553	6	2793974	4403008	65.58	2793974	1130905	1	2	277.54
GCF_000670035.1_Myco_tube_TB_RSA10_V1_genomic	8	8	5	3	3	3	4389427	4389427	4384010	4370901	4370901	4370901	8	3825758	4389427	65.59	3825758	3825758	1	1	74.61
GCF_000670055.1_Myco_tube_TB_RSA11_V1_genomic	6	6	5	4	4	4	4396669	4396669	4394837	4387955	4387955	4387955	6	2774518	4396669	65.60	2774518	810433	1	2	204.91
GCF_000670075.1_Myco_tube_TB_RSA12_V1_genomic	17	17	11	9	9	9	4394125	4394125	4382334	4370601	4370601	4370601	17	1017239	4394125	65.59	583870	461863	3	5	166.34
GCF_000670095.1_Myco_tube_TB_RSA13_V1_genomic	8	8	5	4	4	4	4408945	4408945	4399720	4393837	4393837	4393837	8	1734948	4408945	65.59	1642334	1642334	2	2	394.43
GCF_000670115.1_Myco_tube_TB_RSA14_V1_genomic	10	10	7	5	5	5	4416851	4416851	4412572	4399676	4399676	4399676	10	3044526	4416851	65.60	3044526	463590	1	2	514.14
GCF_000670135.1_Myco_tube_TB_RSA15_V1_genomic	10	10	7	7	6	6	4408825	4408825	4403632	4403632	4393303	4393303	10	1341523	4408825	65.59	1302714	843290	2	3	340.50
GCF_000670155.1_Myco_tube_TB_RSA16_V1_genomic	10	10	8	7	7	6	4407119	4407119	4404970	4396755	4396755	4371360	10	1939266	4407119	65.59	1074030	468090	2	3	328.70
GCF_000670175.1_Myco_tube_TB_RSA17_V1_genomic	11	11	8	6	6	6	4414305	4414305	4410086	4398494	4398494	4398494	11	1299864	4414305	65.60	997659	486110	2	4	386.15
GCF_000670195.1_Myco_tube_TB_RSA18_V1_genomic	8	8	6	6	5	5	4400675	4400675	4398047	4398047	4385278	4385278	8	1788471	4400675	65.60	1296259	503089	2	3	296.66
GCF_000670215.1_Myco_tube_TB_RSA19_V1_genomic	6	6	2	2	2	2	4416002	4416002	4407202	4407202	4407202	4407202	6	3945339	4416002	65.59	3945339	3945339	1	1	560.87
GCF_000670235.1_Myco_tube_TB_RSA20_V1_genomic	5	5	4	3	3	3	4413168	4413168	4412109	4404654	4404654	4404654	5	3602243	4413168	65.59	3602243	3602243	1	1	634.53
GCF_000670255.1_Myco_tube_TB_RSA21_V1_genomic	9	9	7	6	6	6	4404990	4404990	4401009	4394913	4394913	4394913	9	1447139	4404990	65.60	845857	559268	2	4	335.46
GCF_000670275.1_Myco_tube_TB_RSA22_V1_genomic	7	7	6	5	5	5	4404320	4404320	4403241	4396198	4396198	4396198	7	2294353	4404320	65.59	2294353	1131016	1	2	292.35
GCF_000670295.1_Myco_tube_TB_RSA23_V1_genomic	21	21	17	16	15	15	4403129	4403129	4394615	4388897	4369749	4369749	21	722260	4403129	65.59	332418	231829	5	8	265.08
GCF_000670315.1_Myco_tube_TB_RSA24_V1_genomic	13	13	10	9	9	9	4416710	4416710	4407962	4400411	4400411	4400411	13	1022227	4416710	65.59	816757	332328	3	5	505.60
GCF_000670335.1_Myco_tube_TB_RSA25_V1_genomic	9	9	6	6	5	5	4413446	4413446	4409107	4409107	4397636	4397636	9	1675247	4413446	65.58	1646450	1646450	2	2	211.33
GCF_000670355.1_Myco_tube_TB_RSA26_V1_genomic	1	1	1	1	1	1	4409346	4409346	4409346	4409346	4409346	4409346	1	4409346	4409346	65.61	4409346	4409346	1	1	167.89
GCF_000670375.1_Myco_tube_TB_RSA27_V1_genomic	5	5	3	3	2	2	4409995	4409995	4407093	4407093	4389035	4389035	5	3926820	4409995	65.60	3926820	3926820	1	1	237.91
GCF_000670395.1_Myco_tube_TB_RSA28_V1_genomic	106	106	75	66	49	31	4370696	4370696	4283645	4218026	3906479	3229283	106	278236	4370696	65.56	87762	49095	15	32	10.18
GCF_000670415.1_Myco_tube_TB_RSA29_V1_genomic	7	7	6	5	5	5	4396227	4396227	4391739	4385363	4385363	4385363	7	1298132	4396227	65.60	1162065	1128960	2	3	112.60
GCF_000670435.1_Myco_tube_TB_RSA30_V1_genomic	25	25	18	17	17	17	4416135	4416135	4403648	4398042	4398042	4398042	25	674238	4416135	65.59	334728	208928	5	9	478.04
GCF_000670455.1_Myco_tube_TB_RSA31_V1_genomic	15	15	13	12	12	12	4404293	4404293	4401382	4391695	4391695	4391695	15	876200	4404293	65.59	586029	223236	3	6	241.74
GCF_000670475.1_Myco_tube_TB_RSA32_V1_genomic	13	13	8	7	7	7	4405655	4405655	4396361	4390830	4390830	4390830	13	1621399	4405655	65.58	837008	467377	2	4	435.99
GCF_000670495.1_Myco_tube_TB_RSA33_V1_genomic	11	11	10	8	8	8	4410849	4410849	4407443	4394420	4394420	4394420	11	1003863	4410849	65.60	666047	462038	3	5	748.93
GCF_000670515.1_Myco_tube_TB_RSA34_V1_genomic	12	12	8	7	7	7	4404127	4404127	4393501	4385735	4385735	4385735	12	1218989	4404127	65.59	556871	505436	3	5	366.57
GCF_000670535.1_Myco_tube_TB_RSA35_V1_genomic	8	8	7	6	6	6	4435469	4435469	4434367	4426534	4426534	4426534	8	2237866	4435469	65.59	2237866	1312315	1	2	923.08
GCF_000670555.1_Myco_tube_TB_RSA36_V1_genomic	5	5	5	3	3	3	4402094	4402094	4402094	4390504	4390504	4390504	5	3723768	4402094	65.60	3723768	3723768	1	1	277.21
GCF_000670575.1_Myco_tube_TB_RSA37_V1_genomic	10	10	7	6	6	6	4434936	4434936	4426497	4421185	4421185	4421185	10	2192712	4434936	65.59	801787	500041	2	3	293.96
GCF_000670595.1_Myco_tube_TB_RSA38_V1_genomic	5	5	4	4	3	3	4401176	4401176	4399683	4399683	4386676	4386676	5	2299379	4401176	65.59	2299379	1624980	1	2	289.01
GCF_000670615.1_Myco_tube_TB_RSA39_V1_genomic	6	6	6	6	6	6	4427088	4427088	4427088	4427088	4427088	4427088	6	1927895	4427088	65.58	871270	611637	2	3	600.17
GCF_000670635.1_Myco_tube_TB_RSA40_V1_genomic	10	10	7	6	6	6	4417816	4417816	4412295	4404206	4404206	4404206	10	1460347	4417816	65.60	1346931	619590	2	3	423.08
GCF_000670655.1_Myco_tube_TB_RSA41_V1_genomic	18	18	11	9	9	9	4410734	4410734	4399245	4386263	4386263	4386263	18	1095186	4410734	65.59	747515	371081	3	5	205.66
GCF_000670675.1_Myco_tube_TB_RSA42_V1_genomic	9	9	5	4	4	4	4403073	4403073	4393075	4387191	4387191	4387191	9	2465756	4403073	65.58	2465756	1125248	1	2	278.44
GCF_000670695.1_Myco_tube_TB_RSA43_V1_genomic	22	22	18	17	17	17	4410431	4410431	4400393	4394870	4394870	4394870	22	540690	4410431	65.59	328214	198704	5	10	317.52
GCF_000670715.1_Myco_tube_TB_RSA44_V1_genomic	8	8	5	3	3	3	4398418	4398418	4393191	4380263	4380263	4380263	8	2622767	4398418	65.60	2622767	1295494	1	2	134.66
GCF_000670735.1_Myco_tube_TB_RSA45_V1_genomic	5	5	3	2	2	2	4399247	4399247	4395730	4388585	4388585	4388585	5	3922161	4399247	65.58	3922161	3922161	1	1	176.14
GCF_000670755.1_Myco_tube_TB_RSA46_V1_genomic	14	14	7	5	5	5	4410698	4410698	4400575	4387062	4387062	4387062	14	1305848	4410698	65.59	1161298	1125599	2	3	401.55
GCF_000670775.1_Myco_tube_TB_RSA48_V1_genomic	9	9	7	7	5	5	4409653	4409653	4405432	4405432	4372021	4372021	9	2074928	4409653	65.59	1301113	1301113	2	2	281.68
GCF_000670795.1_Myco_tube_TB_RSA49_V1_genomic	24	24	12	11	10	10	4430324	4430324	4409726	4403630	4383432	4383432	24	1083153	4430324	65.60	463287	333817	3	6	750.98
GCF_000670815.1_Myco_tube_TB_RSA50_V1_genomic	5	5	2	2	2	2	4403018	4403018	4398874	4398874	4398874	4398874	5	3936086	4403018	65.60	3936086	3936086	1	1	306.77
GCF_000670835.1_Myco_tube_TB_RSA51_V1_genomic	7	7	5	4	4	4	4396347	4396347	4393445	4384601	4384601	4384601	7	2288589	4396347	65.59	2288589	1295910	1	2	204.08
GCF_000670855.1_Myco_tube_TB_RSA53_V1_genomic	7	7	3	2	2	2	4401917	4401917	4391844	4386186	4386186	4386186	7	3924101	4401917	65.59	3924101	3924101	1	1	80.85
GCF_000670875.1_Myco_tube_TB_RSA55_V1_genomic	8	8	2	2	2	2	4400159	4400159	4387786	4387786	4387786	4387786	8	3925923	4400159	65.60	3925923	3925923	1	1	229.88
GCF_000670895.1_Myco_tube_TB_RSA56_V1_genomic	7	7	5	4	4	4	4402532	4402532	4396949	4388443	4388443	4388443	7	3370345	4402532	65.59	3370345	3370345	1	1	302.35
GCF_000670915.1_Myco_tube_TB_RSA57_V1_genomic	13	13	8	7	7	7	4514078	4514078	4504324	4498323	4498323	4498323	13	1798437	4514078	65.59	1789689	1789689	2	2	321.35
GCF_000670935.1_Myco_tube_TB_RSA58_V1_genomic	11	11	8	7	7	7	4478118	4478118	4471110	4465740	4465740	4465740	11	1806089	4478118	65.60	1780966	1780966	2	2	93.54
GCF_000670955.1_Myco_tube_TB_RSA59_V1_genomic	6	6	5	3	3	3	4422732	4422732	4420084	4409713	4409713	4409713	6	2303576	4422732	65.59	2303576	1644141	1	2	577.79
GCF_000670975.1_Myco_tube_TB_RSA60_V1_genomic	15	15	14	13	11	11	4416915	4416915	4415083	4410077	4387710	4387710	15	1383738	4416915	65.60	447273	299414	3	7	216.85
GCF_000670995.1_Myco_tube_TB_RSA61_V1_genomic	12	12	7	7	6	5	4427938	4427938	4414462	4414462	4403783	4375980	12	3600525	4427938	65.59	3600525	3600525	1	1	302.62
GCF_000671015.1_Myco_tube_TB_RSA62_V1_genomic	7	7	3	2	2	2	4420105	4420105	4408258	4402735	4402735	4402735	7	3939998	4420105	65.59	3939998	3939998	1	1	218.12
GCF_000671035.1_Myco_tube_TB_RSA63_V1_genomic	4	4	4	3	3	3	4405601	4405601	4405601	4400001	4400001	4400001	4	2150760	4405601	65.61	1785693	1785693	2	2	43.20
GCF_000671055.1_Myco_tube_TB_RSA64_V1_genomic	1	1	1	1	1	1	4398560	4398560	4398560	4398560	4398560	4398560	1	4398560	4398560	65.61	4398560	4398560	1	1	2.27
GCF_000671075.1_Myco_tube_TB_RSA66_V1_genomic	8	8	3	2	2	2	4424181	4424181	4412160	4406513	4406513	4406513	8	3944326	4424181	65.59	3944326	3944326	1	1	393.90
GCF_000671095.1_Myco_tube_TB_RSA67_V1_genomic	6	6	4	3	3	3	4399205	4399205	4394417	4387698	4387698	4387698	6	3127632	4399205	65.59	3127632	798673	1	2	108.72
GCF_000671115.1_Myco_tube_TB_RSA68_V1_genomic	15	15	14	14	12	12	4427463	4427463	4425998	4425998	4400377	4400377	15	982400	4427463	65.61	457125	406988	4	6	521.25
GCF_000671135.1_Myco_tube_TB_RSA69_V1_genomic	5	5	4	2	2	2	4392784	4392784	4390952	4376169	4376169	4376169	5	3914072	4392784	65.62	3914072	3914072	1	1	67.52
GCF_000671155.1_Myco_tube_TB_RSA70_V1_genomic	4	4	3	3	2	2	4413890	4413890	4412058	4412058	4398447	4398447	4	3924561	4413890	65.61	3924561	3924561	1	1	512.13
GCF_000671175.1_Myco_tube_TB_RSA71_V1_genomic	10	10	8	7	7	7	4399949	4399949	4391507	4382886	4382886	4382886	10	1031311	4399949	65.61	750684	436422	3	5	87.34
GCF_000671195.1_Myco_tube_TB_RSA72_V1_genomic	5	5	5	4	4	4	4411220	4411220	4411220	4402158	4402158	4402158	5	1490661	4411220	65.62	1291576	1148443	2	3	190.90
GCF_000671215.1_Myco_tube_TB_RSA73_V1_genomic	9	9	5	4	4	4	4411151	4411151	4401818	4396136	4396136	4396136	9	3038794	4411151	65.60	3038794	557314	1	2	379.13
GCF_000671235.1_Myco_tube_TB_RSA74_V1_genomic	19	19	14	13	12	12	4412616	4412616	4400387	4394705	4384426	4384426	19	1032604	4412616	65.60	595422	291529	3	6	276.07
GCF_000671255.1_Myco_tube_TB_RSA75_V1_genomic	19	19	14	14	13	13	4439011	4439011	4426998	4426998	4411649	4411649	19	1082090	4439011	65.59	571106	334532	3	6	492.70
GCF_000671275.1_Myco_tube_TB_RSA76_V1_genomic	8	8	4	3	3	3	4451857	4451857	4446728	4441617	4441617	4441617	8	3739363	4451857	65.60	3739363	3739363	1	1	680.50
GCF_000671775.1_Myco_tube_TKK_02_0001_V1_genomic	5	5	3	3	3	3	4418681	4418681	4412330	4412330	4412330	4412330	5	3370610	4418681	65.60	3370610	3370610	1	1	428.25
GCF_000671795.1_Myco_tube_TKK_02_0002_V1_genomic	4	4	2	2	2	2	4416426	4416426	4413428	4413428	4413428	4413428	4	3939594	4416426	65.57	3939594	3939594	1	1	634.40
GCF_000671815.1_Myco_tube_TKK_02_0003_V1_genomic	5	5	2	2	2	2	4416961	4416961	4409762	4409762	4409762	4409762	5	3944682	4416961	65.60	3944682	3944682	1	1	434.76
GCF_000671835.1_Myco_tube_TKK_02_0006_V1_genomic	2	2	1	1	1	1	4407969	4407969	4406230	4406230	4406230	4406230	2	4406230	4407969	65.62	4406230	4406230	1	1	127.63
GCF_000671855.1_Myco_tube_TKK_02_0012_V1_genomic	1	1	1	1	1	1	4406712	4406712	4406712	4406712	4406712	4406712	1	4406712	4406712	65.62	4406712	4406712	1	1	101.44
GCF_000671875.1_Myco_tube_TKK_02_0013_V1_genomic	1	1	1	1	1	1	4401897	4401897	4401897	4401897	4401897	4401897	1	4401897	4401897	65.61	4401897	4401897	1	1	97.39
GCF_000671895.1_Myco_tube_TKK_02_0014_V1_genomic	1	1	1	1	1	1	4405034	4405034	4405034	4405034	4405034	4405034	1	4405034	4405034	65.62	4405034	4405034	1	1	11.35
GCF_000671915.1_Myco_tube_TKK_02_0015_V1_genomic	3	3	3	3	3	3	4404880	4404880	4404880	4404880	4404880	4404880	3	3015680	4404880	65.61	3015680	1331139	1	2	120.50
GCF_000671935.1_Myco_tube_TKK_02_0016_V1_genomic	1	1	1	1	1	1	4403191	4403191	4403191	4403191	4403191	4403191	1	4403191	4403191	65.61	4403191	4403191	1	1	73.29
GCF_000671955.1_Myco_tube_TKK_02_0017_V1_genomic	2	2	2	2	2	2	4405094	4405094	4405094	4405094	4405094	4405094	2	3473651	4405094	65.60	3473651	3473651	1	1	252.91
GCF_000671975.1_Myco_tube_TKK_02_0018_V1_genomic	4	4	3	2	2	2	4416592	4416592	4415563	4405711	4405711	4405711	4	3937498	4416592	65.59	3937498	3937498	1	1	202.87
GCF_000671995.1_Myco_tube_TKK_02_0019_V1_genomic	2	2	2	2	2	2	4407861	4407861	4407861	4407861	4407861	4407861	2	3929875	4407861	65.60	3929875	3929875	1	1	102.43
GCF_000672015.1_Myco_tube_TKK_02_0020_V1_genomic	1	1	1	1	1	1	4403298	4403298	4403298	4403298	4403298	4403298	1	4403298	4403298	65.61	4403298	4403298	1	1	136.22
GCF_000672035.1_Myco_tube_TKK_02_0021_V1_genomic	1	1	1	1	1	1	4396498	4396498	4396498	4396498	4396498	4396498	1	4396498	4396498	65.60	4396498	4396498	1	1	2.27
GCF_000672055.1_Myco_tube_TKK_02_0022_V1_genomic	1	1	1	1	1	1	4401880	4401880	4401880	4401880	4401880	4401880	1	4401880	4401880	65.61	4401880	4401880	1	1	74.08
GCF_000672075.1_Myco_tube_TKK_02_0025_V1_genomic	4	4	3	2	2	2	4430328	4430328	4429258	4423360	4423360	4423360	4	2793647	4430328	65.59	2793647	1629713	1	2	479.67
GCF_000672095.1_Myco_tube_TKK_02_0027_V1_genomic	2	2	2	2	2	2	4416566	4416566	4416566	4416566	4416566	4416566	2	4075688	4416566	65.61	4075688	4075688	1	1	507.84
GCF_000672115.1_Myco_tube_TKK_02_0033_V1_genomic	1	1	1	1	1	1	4406067	4406067	4406067	4406067	4406067	4406067	1	4406067	4406067	65.60	4406067	4406067	1	1	203.58
GCF_000672135.1_Myco_tube_TKK_02_0034_V1_genomic	1	1	1	1	1	1	4428032	4428032	4428032	4428032	4428032	4428032	1	4428032	4428032	65.60	4428032	4428032	1	1	611.22
GCF_000672155.1_Myco_tube_TKK_02_0036_V1_genomic	18	18	13	12	12	12	4398759	4398759	4386927	4377949	4377949	4377949	18	811145	4398759	65.62	665134	292309	3	6	57.11
GCF_000672175.1_Myco_tube_TKK_02_0038_V1_genomic	1	1	1	1	1	1	4408950	4408950	4408950	4408950	4408950	4408950	1	4408950	4408950	65.61	4408950	4408950	1	1	199.68
GCF_000672195.1_Myco_tube_TKK_02_0039_V1_genomic	1	1	1	1	1	1	4404262	4404262	4404262	4404262	4404262	4404262	1	4404262	4404262	65.60	4404262	4404262	1	1	134.21
GCF_000672215.1_Myco_tube_TKK_02_0045_V1_genomic	1	1	1	1	1	1	4402453	4402453	4402453	4402453	4402453	4402453	1	4402453	4402453	65.61	4402453	4402453	1	1	112.51
GCF_000672235.1_Myco_tube_TKK_02_0046_V1_genomic	6	6	3	3	2	2	4415582	4415582	4410407	4410407	4391826	4391826	6	3930272	4415582	65.59	3930272	3930272	1	1	249.84
GCF_000672255.1_Myco_tube_TKK_02_0052_V1_genomic	2	2	1	1	1	1	4414437	4414437	4413358	4413358	4413358	4413358	2	4413358	4414437	65.60	4413358	4413358	1	1	450.09
